iter	Logloss
0	0.6237828939
1	0.5672344423
2	0.5196979435
3	0.4787175715
4	0.4439546046
5	0.4145050335
6	0.3887116558
7	0.3658807784
8	0.3454378282
9	0.3275396977
10	0.3116738249
11	0.2973188003
12	0.2851197861
13	0.2742750713
14	0.264740264
15	0.2559198087
16	0.2474637768
17	0.2396835265
18	0.2330562216
19	0.2267590034
20	0.2213563491
21	0.2164343958
22	0.2119471842
23	0.207863348
24	0.203780597
25	0.1983814204
26	0.1936911054
27	0.1894946909
28	0.1864201549
29	0.1841250395
30	0.1813236325
31	0.1776999294
32	0.1741134025
33	0.1708180388
34	0.1682364839
35	0.1657279996
36	0.1625697056
37	0.1604360989
38	0.1579016539
39	0.1555384527
40	0.1532009382
41	0.1512026658
42	0.1497566141
43	0.1478095791
44	0.146419981
45	0.144270453
46	0.1427079458
47	0.1411836849
48	0.1401739953
49	0.1390313663
50	0.1379277306
51	0.1367205481
52	0.1349923478
53	0.1334131541
54	0.1322355153
55	0.1314571744
56	0.1306483358
57	0.1296856855
58	0.1281487292
59	0.1272976081
60	0.1268215666
61	0.1251571643
62	0.1238340779
63	0.1225332767
64	0.1213498042
65	0.1204154031
66	0.1190626485
67	0.11793706
68	0.1169013681
69	0.1162267353
70	0.1151749043
71	0.1140554721
72	0.1132157011
73	0.111973369
74	0.1111095669
75	0.1106226766
76	0.1096228131
77	0.1088456829
78	0.1079841316
79	0.1075373529
80	0.10668635
81	0.1064544301
82	0.1057514379
83	0.10530696
84	0.1044977134
85	0.1036505178
86	0.1033869503
87	0.1028558099
88	0.1023868303
89	0.1018887712
90	0.1017080795
91	0.1009272225
92	0.1005000644
93	0.09982317808
94	0.09960570647
95	0.09890432794
96	0.0985826684
97	0.0980330288
98	0.09752684229
99	0.09691645442
