iter	Passed	Remaining
0	158	15696
1	167	8230
2	177	5730
3	186	4469
4	195	3705
5	204	3205
6	213	2833
7	222	2558
8	231	2344
9	240	2166
10	251	2033
11	259	1905
12	268	1797
13	278	1708
14	286	1622
15	296	1556
16	307	1501
17	318	1449
18	327	1396
19	338	1355
20	349	1313
21	357	1267
22	367	1228
23	377	1195
24	385	1157
25	396	1129
26	408	1104
27	419	1078
28	427	1047
29	439	1025
30	448	998
31	459	976
32	471	956
33	482	935
34	493	915
35	503	894
36	515	877
37	525	856
38	535	837
39	546	819
40	557	802
41	567	783
42	578	766
43	588	748
44	598	731
45	610	716
46	619	698
47	630	683
48	640	666
49	651	651
50	659	634
51	668	617
52	679	602
53	689	587
54	697	571
55	707	555
56	716	540
57	728	527
58	738	513
59	748	498
60	759	485
61	770	472
62	780	458
63	792	445
64	803	432
65	813	419
66	824	405
67	834	392
68	844	379
69	855	366
70	866	353
71	878	341
72	888	328
73	899	316
74	908	302
75	918	289
76	930	277
77	940	265
78	952	253
79	962	240
80	973	228
81	983	215
82	994	203
83	1003	191
84	1014	178
85	1025	166
86	1035	154
87	1045	142
88	1056	130
89	1066	118
90	1076	106
91	1087	94
92	1098	82
93	1108	70
94	1117	58
95	1128	47
96	1138	35
97	1148	23
98	1159	11
99	1171	0
